Model,Accuracy
KNN,0.8360248447204969
Naive Bayes,0.8571428571428571
Decision Tree,0.8173913043478261
Neural Net,0.8869565217391304
Random Forest (Optimized),0.8782608695652174
Gradient Boosting (Optimized),0.8857142857142857
